牡丹江,牡丹江禧禄达国际酒店,行政标准间,双床,￥ 369,,4.5,904,13,双早,免费取消,否,否,是,是,否,是,是,否,是,否,否, 
牡丹江,牡丹江东方明珠国际大酒店,小单人间,大床,￥ 544,,4.3,679,21,单早,免费取消,否,否,是,是,否,否,是,否,否,否,否, 
牡丹江,牡丹江东方明珠国际大酒店,商务小单间,大床,￥ 334,,4.3,679,21,单早,免费取消,否,否,是,是,否,否,是,否,否,否,否, 
牡丹江,牡丹江东方明珠国际大酒店,标准间,双床,￥ 391,,4.3,679,21,双早,免费取消,否,否,是,是,否,否,是,否,否,否,否, 
牡丹江,牡丹江饭店,豪华标间,大/双,￥ 564,,3.9,116,21,双早,免费取消,否,否,是,是,否,否,是,否,否,否,否, 
牡丹江,牡丹江饭店,豪华套间,大床,￥ 334,,3.9,116,21,双早,免费取消,否,否,是,是,否,否,是,否,否,否,否, 
牡丹江,牡丹江饭店,商务标间,大/双,￥ 534,,3.9,116,21,双早,免费取消,否,否,是,是,否,否,是,否,否,否,否, 
牡丹江,牡丹江昆仑大酒店,特价房,/,￥ 580,紧张,4.3,115,4,/,免费取消,否,否,否,是,否,否,是,否,是,否,否, 
牡丹江,牡丹江昆仑大酒店,标准双人房,双床,￥ 530,,4.3,115,4,/,免费取消,否,否,否,是,否,否,是,否,是,否,否, 
牡丹江,牡丹江昆仑大酒店,标准单人房,大床,￥ 540,,4.3,115,4,双早,免费取消,否,否,否,是,否,否,是,否,是,否,否, 
牡丹江,牡丹江新玛特大酒店,豪华标准房,双床,￥ 580,,3.8,80,8,/,免费取消,否,否,否,是,是,否,是,否,否,否,否, 
牡丹江,牡丹江新玛特大酒店,商务套房,大床,￥ 264,,3.8,80,8,双早,免费取消,否,否,否,是,是,否,是,否,否,否,否, 
牡丹江,牡丹江新玛特大酒店,豪华套房,大床,￥ 934,,3.8,80,8,双早,免费取消,否,否,否,是,是,否,是,否,否,否,否, 
牡丹江,牡丹江新东方宾馆,标准间,双床,￥ 574,,3.9,5,8,双早,免费取消,否,否,否,是,否,否,是,否,是,否,否, 
牡丹江,牡丹江新东方宾馆,单人间,大床,￥ 574,,3.9,5,8,双早,免费取消,否,否,否,是,否,否,是,否,是,否,否, 
牡丹江,牡丹江大福源酒店,标准双人间,双床,￥ 578,,4.2,37,18,双早,免费取消,否,否,否,是,否,否,是,否,否,否,否, 
牡丹江,牡丹江大福源酒店,标准单人间,大床,￥ 578,,4.2,37,18,双早,免费取消,否,否,否,是,否,否,是,否,否,否,否, 
